id,mes,score
0003d2eb,September,6.651409149169922
000aa810,July,57.2005729675293
000d7e33,July,25.40302276611328
00184691,July,29.524812698364258
001b0634,July,50.89811706542969
001eb75a,July,38.563743591308594
0029317e,September,18.479381561279297
002fb84c,July,28.73880386352539
00301627,July,24.626876831054688
003a2b5b,July,41.67484664916992
003ab939,July,77.38007354736328
0040c3a8,July,38.833152770996094
004ef4ec,July,16.365095138549805
0058fedc,August,19.846935272216797
0060c0a5,July,39.543582916259766
00635116,July,35.136104583740234
0080ae28,July,22.347332000732422
0083efdf,July,25.49980354309082
008a52a9,July,35.177337646484375
008be628,July,38.768821716308594
008d48bf,July,34.66671371459961
009957ba,July,43.48628234863281
0099b501,July,20.83113670349121
00a0d9d4,August,20.56641387939453
00a0fcf3,July,43.238990783691406
00b7c361,July,18.44773292541504
00c03fbe,July,38.99470138549805
00cb4c3e,July,17.212860107421875
00d97746,August,22.22278594970703
00da2ec1,July,27.20018196105957
00de40a4,July,50.05153274536133
00e1d23f,July,33.49004364013672
00e6b793,July,49.25254440307617
00edfd51,July,42.701290130615234
00eee261,July,21.792566299438477
00efbedd,August,39.458946228027344
00f898a5,July,32.407814025878906
00fc19b1,July,25.98219871520996
00fd0698,July,41.72243118286133
00ff36dd,July,11.090291976928711
010966cb,July,50.85581970214844
011909e9,July,46.35465621948242
011bc55a,July,34.23444747924805
0131497d,July,25.5251407623291
0140e251,July,19.987260818481445
01417893,July,25.745126724243164
0147ad59,July,34.71456527709961
014e57fe,July,17.116439819335938
01503e8a,July,21.62604331970215
01567168,July,26.96158218383789
0157cf88,August,54.45157241821289
01583b0f,July,29.341550827026367
0177cc36,July,45.957401275634766
017f206b,July,59.21995544433594
01829c8b,July,42.61002731323242
018df98c,July,44.36723709106445
0193cab1,July,36.77466583251953
01a92708,July,40.51670455932617
01ac99fb,August,21.496227264404297
01b0ad1c,July,58.806121826171875
01b7f786,August,73.31352996826172
01bc24f4,July,59.97482681274414
01ccc4cf,July,20.331321716308594
01ce06f5,July,26.5462703704834
01e1a71e,July,47.90007781982422
01ea0701,July,21.020538330078125
01edae7b,July,16.181673049926758
01f1fef8,July,17.341529846191406
01f32968,July,26.986215591430664
01f7f810,July,61.40757369995117
01fb0167,August,16.553449630737305
01fec683,July,39.22944641113281
020aefcc,July,45.53713607788086
020c0e93,September,19.651296615600586
